,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,12,Bruce Bowen,SF,6-7,185,"June 14, 1971",United States,7,Cal State Fullerton
1,23,Devin Brown,SG,6-5,220,"December 30, 1978",United States,1,Texas-San Antonio
2,3,Matt Carroll,SG,6-6,212,"August 28, 1980",United States,R,Notre Dame
3,7,Anthony Carter,PG,6-1,190,"June 16, 1975",United States,4,Hawaii
4,21,Tim Duncan,PF,6-11,250,"April 25, 1976",U.S. Virgin Islands,6,Wake Forest
5,10,Alex Garcia,SG,6-3,220,"March 4, 1980",Brazil,R,
6,20,Manu Ginobili,SG,6-6,205,"July 28, 1977",Argentina,1,
7,1,Jason Hart,PG,6-3,185,"April 29, 1978",United States,2,Syracuse
8,11,Shane Heal,PG,6-0,180,"September 6, 1970",Australia,1,
9,5,Robert Horry,PF,6-10,240,"August 25, 1970",United States,11,Alabama
10,33,Ron Mercer,SG,6-7,210,"May 18, 1976",United States,6,Kentucky
11,8,Rasho Nesterovic,C,7-0,248,"May 30, 1976",Slovenia,5,
12,9,Tony Parker,PG,6-2,185,"May 17, 1982",Belgium,2,
13,31,Malik Rose,PF,6-7,250,"November 23, 1974",United States,7,Drexel
14,14,Hedo Turkoglu,SF,6-10,220,"March 19, 1979",Turkey,3,
15,17,Charlie Ward,PG,6-2,190,"October 12, 1970",United States,9,Florida State
16,42,Kevin Willis,C,7-0,220,"September 6, 1962",United States,18,Michigan State
