,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,20030,3103,6664,0.466,608,1724,0.353,2495,4940,0.505,1660,2221,0.747,886,2495,3381,1850,600,421,1273,1889,8474
1,Team/G,,244.3,37.8,81.3,0.466,7.4,21.0,0.353,30.4,60.2,0.505,20.2,27.1,0.747,10.8,30.4,41.2,22.6,7.3,5.1,15.5,23.0,103.3
2,Lg Rank,,1,5,7,6.0,5,4,16.0,17,25,2.0,11,9,18.0,21,12,11,6,10,9,19,20,5
3,Year/Year,,0.9%,3.7%,0.9%,0.013,10.1%,8.9%,0.004,2.3%,-1.7%,0.019,2.6%,2.3%,0.002,-8.7%,0.3%,-2.2%,6.7%,-4.5%,20.3%,11.4%,-0.3%,3.9%
4,Opponent,82.0,20030,3097,6719,0.461,523,1462,0.358,2574,5257,0.49,1763,2320,0.76,955,2508,3463,1798,649,409,1208,1916,8480
5,Opponent/G,,244.3,37.8,81.9,0.461,6.4,17.8,0.358,31.4,64.1,0.49,21.5,28.3,0.76,11.6,30.6,42.2,21.9,7.9,5.0,14.7,23.4,103.4
6,Lg Rank,,1,22,26,18.0,20,19,18.0,24,26,18.0,25,25,24.0,21,23,22,20,26,21,19,8,25
7,Year/Year,,0.9%,5.2%,2.6%,0.011,10.3%,8.9%,0.005,4.2%,1.0%,0.015,11.2%,9.3%,0.013,6.9%,4.5%,5.2%,3.9%,21.1%,15.5%,4.3%,-0.5%,6.7%
