,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19880,3099,7158,0.433,660,2032,0.325,2439,5126,0.476,1462,1991,0.734,1012,2653,3665,1788,641,367,1166,1882,8320
1,Team/G,,242.4,37.8,87.3,0.433,8.0,24.8,0.325,29.7,62.5,0.476,17.8,24.3,0.734,12.3,32.4,44.7,21.8,7.8,4.5,14.2,23.0,101.5
2,Lg Rank,,8,13,2,26.0,13,12,28.0,16,13,22.0,8,8,24.0,3,12,7,13,14,21,15,30,12
3,Year/Year,,0.6%,-1.5%,1.6%,-0.014,-6.0%,3.7%,-0.034,-0.2%,0.8%,-0.005,-6.5%,-7.6%,0.009,0.3%,-2.4%,-1.6%,-2.7%,4.2%,-20.0%,-10.7%,-0.4%,-2.8%
4,Opponent,82.0,19880,3164,6909,0.458,631,1823,0.346,2533,5086,0.498,1652,2208,0.748,899,2798,3697,1894,611,504,1177,1698,8611
5,Opponent/G,,242.4,38.6,84.3,0.458,7.7,22.2,0.346,30.9,62.0,0.498,20.1,26.9,0.748,11.0,34.1,45.1,23.1,7.5,6.1,14.4,20.7,105.0
6,Lg Rank,,8,27,19,25.0,10,12,12.0,26,22,25.0,30,30,13.0,17,28,27,20,10,29,14,10,27
7,Year/Year,,0.6%,-2.3%,-2.5%,0.001,4.3%,5.7%,-0.005,-3.8%,-5.1%,0.007,-0.1%,1.8%,-0.015,-3.3%,5.0%,2.8%,2.8%,-12.0%,9.8%,-0.1%,-4.5%,-1.4%
