Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2021-22,22.0,WAS,NBA,SF,17,0,12.6,1.3,3.4,0.379,0.5,2.1,0.222,0.8,1.3,0.636,0.448,0.5,0.6,0.8,0.5,1.4,1.9,0.6,0.2,0.2,0.4,0.5,3.5
Career,,,NBA,,17,0,12.6,1.3,3.4,0.379,0.5,2.1,0.222,0.8,1.3,0.636,0.448,0.5,0.6,0.8,0.5,1.4,1.9,0.6,0.2,0.2,0.4,0.5,3.5
