,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,8,Bogdan Bogdanovic,SG,6-6,220,"August 18, 1992",Serbia,R,
1,22,Bruno Caboclo,SF,6-9,218,"September 21, 1995",Brazil,3,
2,15,Vince Carter,SF,6-6,220,"January 26, 1977",United States,19,UNC
3,0,Willie Cauley-Stein,C,7-0,240,"August 18, 1993",United States,2,Kentucky
4,45,Jack Cooley,PF,6-9,260,"April 12, 1991",United States,1,Notre Dame
5,5,De'Aaron Fox,PG,6-3,185,"December 20, 1997",United States,R,Kentucky
6,40,Nigel Hayes,SF,6-8,254,"December 16, 1994",United States,R,Wisconsin
7,24,Buddy Hield,SG,6-4,220,"December 17, 1992",Bahamas,1,Oklahoma
8,3,George Hill,PG,6-4,188,"May 4, 1986",United States,9,IUPUI
9,25,Justin Jackson,SF,6-8,220,"March 28, 1995",United States,R,UNC
10,41,Kosta Koufos,C,7-0,245,"February 24, 1989",United States,9,Ohio State
11,7,Skal Labissiere,PF,6-10,235,"March 18, 1996",Haiti,1,Kentucky
12,10,Frank Mason,PG,5-11,190,"April 3, 1994",United States,R,Kansas
13,13,Georgios Papagiannis,C,7-1,240,"July 3, 1997",Greece,1,
14,50,Zach Randolph,PF,6-9,250,"July 16, 1981",United States,16,Michigan State
15,23,Malachi Richardson,SG,6-6,205,"January 5, 1996",United States,1,Syracuse
16,29,JaKarr Sampson,SF,6-7,214,"March 20, 1993",United States,2,St. John's
17,17,Garrett Temple,SG,6-5,195,"May 8, 1986",United States,7,LSU
