,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,72.0,17380,2936,6512,0.451,1126,3261,0.345,1810,3251,0.557,1484,1876,0.791,704,2484,3188,1557,627,371,1057,1566,8482
1,Team/G,,241.4,40.8,90.4,0.451,15.6,45.3,0.345,25.1,45.2,0.557,20.6,26.1,0.791,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8
2,Lg Rank,,16,16,8,22.0,1,1,24.0,30,30,2.0,2,2,8.0,20,16,18,29,3,10,15,23,2
3,Year/Year,,-0.2%,3.9%,3.5%,0.002,-3.1%,-0.2%,-0.01,8.8%,7.6%,0.006,6.8%,6.8%,0.0,-4.1%,8.3%,5.3%,1.9%,2.0%,4.3%,10.0%,-1.1%,3.4%
4,Opponent,72.0,17380,3045,6589,0.462,880,2522,0.349,2165,4067,0.532,1299,1706,0.761,803,2645,3448,1819,578,354,1163,1515,8269
5,Opponent/G,,241.4,42.3,91.5,0.462,12.2,35.0,0.349,30.1,56.5,0.532,18.0,23.7,0.761,11.2,36.7,47.9,25.3,8.0,4.9,16.2,21.0,114.8
6,Lg Rank,,16,24,25,14.0,14,22,8.0,24,22,20.0,16,17,8.0,28,29,30,23,22,15,3,12,23
7,Year/Year,,-0.2%,4.7%,5.6%,-0.004,20.6%,17.5%,0.009,-0.7%,-0.6%,-0.0,-0.9%,-0.1%,-0.007,1.7%,6.6%,5.4%,7.4%,8.4%,9.3%,7.5%,5.2%,5.2%
