,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,3,Dewayne Dedmon,C,7-0,245,"August 12, 1989",United States,1,USC
1,10,Evan Fournier,SG,6-7,205,"October 29, 1992",France,2,
2,8,Channing Frye,PF,7-0,255,"May 17, 1983",United States,8,Arizona
3,0,Aaron Gordon,PF,6-8,235,"September 16, 1995",United States,R,Arizona
4,7,Ben Gordon,SG,6-3,200,"April 4, 1983",United Kingdom,10,UConn
5,34,Willie Green,SG,6-4,200,"July 28, 1981",United States,11,Detroit Mercy
6,21,Maurice Harkless,SF,6-7,220,"May 11, 1993",United States,2,St. John's
7,12,Tobias Harris,SF,6-8,226,"July 15, 1992",United States,3,Tennessee
8,11,Devyn Marble,SG,6-6,200,"September 21, 1992",United States,R,Iowa
9,44,Andrew Nicholson,PF,6-9,250,"December 8, 1989",Canada,2,St. Bonaventure
10,2,Kyle O'Quinn,PF,6-9,250,"March 26, 1990",United States,2,Norfolk State
11,5,Victor Oladipo,SG,6-4,213,"May 4, 1992",United States,1,Indiana
12,4,Elfrid Payton,PG,6-3,195,"February 22, 1994",United States,R,Louisiana
13,13,Luke Ridnour,PG,6-2,175,"February 13, 1981",United States,11,Oregon
14,9,Nikola Vucevic,C,6-11,260,"October 24, 1990",Switzerland,3,USC
