Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,21.0,SAS,NBA,PF,23,113,15.1,0.646,0.0,0.5,5.8,26.8,16.4,8.3,0.9,3.7,20.1,15.5,0.1,0.2,0.3,0.12,-1.9,0.7,-1.3,0.0
2019-20,22.0,SAS,NBA,C,22,272,17.3,0.682,0.015,0.388,11.1,22.6,16.8,7.7,0.9,5.5,21.1,15.8,0.5,0.3,0.8,0.134,-1.4,-0.3,-1.7,0.0
2020-21,23.0,SAS,NBA,C,54,755,17.9,0.618,0.01,0.517,10.2,24.0,17.0,7.9,1.2,5.5,15.2,17.1,1.2,1.1,2.3,0.145,-1.1,1.2,0.0,0.4
2021-22,24.0,SAS,NBA,C,11,166,18.9,0.622,0.043,0.587,8.1,25.2,16.5,12.1,1.7,7.0,21.7,18.8,0.2,0.3,0.5,0.153,-2.0,2.0,0.0,0.1
Career,,,NBA,,110,1306,17.7,0.633,0.015,0.5,9.8,24.1,16.8,8.4,1.1,5.5,17.7,16.9,2.0,1.9,3.9,0.142,-1.4,0.9,-0.5,0.5
