,Rk,Player,Pos,Age,Tm,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1,Quincy Acy,SF,23,TOT,63,0,12.525,1.025,2.2,0.46,0.1,0.325,0.27,0.9,1.875,0.48,0.48,0.575,0.875,0.65,1.05,2.125,3.175,0.45,0.4,0.4,0.45,1.75,2.7,620.0,11.625,0.52,0.155,0.413,9.5,19.43,14.38,5.95,1.8,2.8,14.4,11.05,,0.425,0.6,1.075,0.108,,-1.725,1.425,-0.275,0.05
1,2,Steven Adams,C,20,OKC,81,20,14.8,1.1,2.3,.503,0.0,0.0,,1.1,2.3,.503,.503,1.0,1.7,.581,1.8,2.3,4.1,0.5,0.5,0.7,0.9,2.5,3.3,1197,11.2,.541,.000,.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,,0.9,1.9,2.9,.114,,-3.1,0.9,-2.2,-0.1
2,3,Jeff Adrien,PF,27,TOT,53,12,19.675,3.05,5.9,0.53,0.0,0.0,,3.05,5.9,0.53,0.53,1.625,2.5,0.62,2.05,4.15,6.225,0.8,0.5,0.725,0.8,2.15,7.725,656.75,17.275,0.56,0.0,0.465,12.03,24.8,18.25,6.58,1.33,3.1,11.1,16.82,,1.1,0.7,1.8,0.137,,-0.15,-0.7,-0.825,0.15
3,4,Arron Afflalo,SG,28,ORL,73,73,35.0,6.4,13.8,.459,1.8,4.1,.427,4.6,9.7,.473,.522,3.8,4.6,.815,0.4,3.2,3.6,3.4,0.5,0.0,2.0,1.9,18.2,2552,16.0,.574,.297,.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,,4.3,1.0,5.3,.099,,1.4,-1.6,-0.2,1.1
4,5,Alexis Ajinca,C,25,NOP,56,30,17.0,2.4,4.4,.546,0.0,0.0,.000,2.4,4.4,.548,.546,1.0,1.2,.836,1.7,3.3,4.9,0.7,0.4,0.8,1.1,3.3,5.9,951,14.6,.589,.004,.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,,1.2,0.9,2.1,.104,,-2.7,0.1,-2.6,-0.1
5,6,Cole Aldrich,C,25,NYK,46,2,7.2,0.7,1.3,.541,0.0,0.0,,0.7,1.3,.541,.541,0.6,0.7,.867,0.8,2.0,2.8,0.3,0.2,0.7,0.4,0.9,2.0,330,19.1,.620,.000,.492,12.8,33.8,23.0,6.4,1.3,8.1,19.5,13.0,,0.6,0.6,1.2,.178,,-0.1,1.6,1.5,0.3
6,7,LaMarcus Aldridge,PF,28,POR,69,69,36.2,9.4,20.6,.458,0.0,0.2,.200,9.4,20.4,.461,.459,4.3,5.2,.822,2.4,8.7,11.1,2.6,0.9,1.0,1.8,2.1,23.2,2498,21.8,.507,.011,.253,7.2,25.5,16.5,13.0,1.3,1.9,7.2,29.8,,4.0,3.5,7.5,.144,,2.3,0.1,2.3,2.7
7,8,Lavoy Allen,PF,24,TOT,65,2,12.825,1.7,3.65,0.47,0.0,0.125,,1.675,3.55,0.48,0.47,0.45,0.75,0.64,1.425,2.35,3.75,0.8,0.25,0.45,0.525,1.45,3.925,564.0,14.85,0.5,0.023,0.226,12.65,20.05,16.38,9.57,1.0,3.2,10.8,15.88,,0.35,0.5,0.85,0.119,,-1.775,-0.35,-2.075,-0.2
8,9,Ray Allen*,SG,38,MIA,73,9,26.5,3.3,7.4,.442,1.6,4.2,.375,1.7,3.2,.530,.549,1.4,1.6,.905,0.3,2.5,2.8,2.0,0.7,0.1,1.2,1.6,9.6,1936,12.8,.590,.569,.214,1.6,11.4,6.7,11.1,1.5,0.4,12.4,16.8,,2.5,1.5,4.1,.101,,0.5,-0.9,-0.4,0.8
9,10,Tony Allen,SG,32,MEM,55,28,23.2,3.7,7.5,.494,0.2,0.9,.234,3.5,6.7,.527,.507,1.4,2.2,.628,1.4,2.3,3.8,1.7,1.6,0.3,1.6,2.2,9.0,1278,15.6,.531,.114,.293,7.3,12.0,9.6,11.7,3.8,1.2,16.2,20.1,,0.5,2.1,2.7,.100,,-1.1,2.1,1.0,1.0
10,11,Al-Farouq Aminu,SF,23,NOP,80,65,25.6,2.9,6.2,.474,0.2,0.6,.271,2.8,5.6,.496,.487,1.1,1.7,.664,1.6,4.6,6.2,1.4,1.0,0.5,1.1,1.8,7.2,2045,13.2,.516,.097,.277,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,,1.3,1.8,3.1,.072,,-0.9,0.3,-0.6,0.7
11,12,Lou Amundson,PF,31,TOT,19,0,5.475,0.425,0.875,,0.0,0.0,,0.425,0.875,,,0.15,0.65,,0.775,0.725,1.5,0.15,0.25,0.3,0.375,1.325,1.025,92.75,4.575,,,,8.68,8.62,8.68,2.35,1.25,2.5,,6.97,,-0.05,0.1,0.05,0.027,,-5.525,-1.9,-7.4,-0.1
12,13,Chris Andersen,C,35,MIA,72,0,19.4,2.5,3.8,.644,0.0,0.2,.250,2.4,3.7,.662,.649,1.7,2.3,.710,1.8,3.5,5.3,0.3,0.4,1.3,0.7,2.3,6.6,1396,18.5,.683,.044,.615,12.1,21.7,17.1,2.1,1.2,6.1,13.2,13.8,,3.8,2.2,6.0,.205,,0.6,0.7,1.2,1.1
13,14,Alan Anderson,SF,31,BRK,78,26,22.7,2.5,6.2,.400,1.1,3.2,.339,1.4,3.0,.464,.487,1.2,1.5,.780,0.5,1.7,2.2,1.0,0.6,0.1,0.8,1.9,7.2,1773,9.5,.525,.511,.243,2.7,9.1,5.9,7.3,1.4,0.5,10.4,15.9,,0.8,0.9,1.7,.047,,-1.8,-1.0,-2.8,-0.4
14,15,James Anderson,SG,24,PHI,80,62,28.9,3.9,9.0,.431,1.4,4.4,.328,2.4,4.6,.530,.511,1.0,1.3,.726,0.7,3.0,3.8,1.9,0.9,0.4,1.3,1.9,10.1,2309,10.9,.530,.490,.148,2.7,11.7,7.0,9.9,1.6,1.0,12.2,15.9,,0.9,0.9,1.9,.039,,-1.5,-1.0,-2.6,-0.3
15,16,Ryan Anderson,PF,25,NOP,22,14,36.1,7.0,16.1,.438,3.0,7.5,.409,4.0,8.6,.463,.532,2.7,2.8,.952,3.0,3.5,6.5,0.8,0.5,0.3,0.9,2.1,19.8,795,18.8,.572,.463,.175,9.5,11.3,10.4,3.6,0.7,0.7,5.0,22.9,,2.2,0.1,2.3,.138,,4.5,-3.2,1.4,0.6
16,17,Giannis Antetokounmpo,SF,19,MIL,77,23,24.6,2.2,5.4,.414,0.5,1.5,.347,1.7,3.9,.440,.463,1.8,2.6,.683,1.0,3.4,4.4,1.9,0.8,0.8,1.6,2.2,6.8,1897,10.8,.518,.282,.483,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15.0,,0.1,1.1,1.2,.031,,-2.4,-0.1,-2.5,-0.2
17,18,Carmelo Anthony,PF,29,NYK,77,77,38.7,9.6,21.3,.452,2.2,5.4,.402,7.5,15.9,.469,.503,6.0,7.0,.848,1.9,6.2,8.1,3.1,1.2,0.7,2.6,2.9,27.4,2982,24.4,.561,.253,.329,5.6,19.4,12.3,15.8,1.7,1.5,9.5,32.4,,8.1,2.5,10.7,.172,,5.8,-0.8,5.0,5.3
18,19,Joel Anthony,C,31,TOT,33,0,5.725,0.4,0.975,0.37,0.0,0.0,,0.4,0.975,0.37,0.37,0.125,0.25,0.54,0.475,0.725,1.2,0.075,0.075,0.375,0.1,0.5,0.825,130.25,8.075,0.4,0.0,0.261,8.85,14.8,11.82,1.35,0.7,5.7,8.38,9.43,,0.0,0.1,0.1,0.044,,-4.175,-0.625,-4.8,-0.075
19,20,Pero Antic,C,31,ATL,50,26,18.5,2.5,5.9,.418,1.1,3.4,.327,1.3,2.5,.545,.514,1.0,1.3,.758,1.1,3.0,4.2,1.2,0.4,0.2,1.1,2.5,7.0,925,11.7,.545,.582,.224,7.2,18.9,13.1,9.8,1.0,1.0,14.5,18.6,,0.5,0.9,1.4,.075,,-1.6,-0.7,-2.3,-0.1
20,21,Trevor Ariza,SF,28,WAS,77,77,35.4,5.1,11.1,.456,2.3,5.7,.407,2.7,5.3,.509,.562,1.9,2.5,.772,1.3,4.9,6.2,2.5,1.6,0.3,1.7,2.3,14.4,2723,15.8,.590,.518,.226,4.1,16.3,10.1,10.8,2.4,0.6,12.3,17.8,,4.3,3.7,8.0,.141,,1.3,1.0,2.3,3.0
21,22,Hilton Armstrong,C,29,GSW,15,1,6.5,0.6,1.3,.474,0.0,0.0,,0.6,1.3,.474,.474,0.5,1.1,.438,1.3,1.9,3.1,0.3,0.3,0.3,0.4,0.7,1.7,97,17.0,.480,.000,.842,21.8,31.0,26.5,7.1,2.1,3.1,18.7,14.5,,0.1,0.2,0.3,.162,,-0.7,0.5,-0.1,0.0
22,23,Darrell Arthur,SF,25,DEN,68,1,17.1,2.4,6.0,.395,0.4,0.9,.375,2.0,5.1,.399,.424,0.8,0.9,.855,0.8,2.3,3.1,0.9,0.6,0.7,0.9,2.7,5.9,1161,9.4,.459,.156,.151,4.8,14.7,9.8,8.0,1.6,3.0,11.7,18.1,,-0.5,1.2,0.7,.029,,-4.0,0.8,-3.2,-0.4
23,24,Omer Asik,C,27,HOU,48,19,20.2,2.1,4.0,.532,0.0,0.0,,2.1,4.0,.532,.532,1.6,2.6,.619,2.1,5.8,7.9,0.5,0.3,0.8,1.2,1.9,5.8,968,14.0,.570,.000,.663,12.3,30.1,21.7,3.8,0.7,2.8,19.4,13.8,,1.0,1.5,2.4,.121,,-1.2,-0.3,-1.5,0.1
24,25,DJ Augustin,PG,26,TOT,71,9,24.075,3.625,8.825,0.38,1.6,4.1,0.33,2.025,4.725,0.43,0.46,2.45,2.75,0.91,0.15,1.4,1.6,3.85,0.65,0.0,1.625,1.85,11.25,1433.75,12.75,0.53,0.462,0.3,0.68,6.45,3.6,26.48,1.27,0.08,16.05,21.8,,2.9,1.8,4.7,0.093,,-0.15,-0.8,-0.975,1.3
25,26,Gustavo Ayon,C,28,ATL,26,14,16.5,2.0,3.9,.510,0.0,0.0,,2.0,3.9,.510,.510,0.3,0.8,.400,1.6,3.2,4.8,1.1,1.0,0.4,1.1,1.8,4.3,429,12.9,.505,.000,.196,11.4,22.3,16.9,10.0,3.0,1.8,20.7,14.8,,0.0,0.7,0.7,.078,,-2.5,1.4,-1.2,0.1
26,27,Jeff Ayres,PF,26,SAS,73,10,13.0,1.4,2.4,.580,0.0,0.0,,1.4,2.4,.580,.580,0.5,0.8,.691,1.2,2.3,3.5,0.8,0.2,0.3,0.9,2.0,3.3,952,11.1,.605,.000,.316,11.0,19.2,15.3,8.6,0.7,1.9,24.1,12.4,,1.0,1.4,2.4,.121,,-3.0,1.0,-2.1,0.0
27,28,Chris Babb,SG,23,BOS,14,0,9.4,0.6,2.1,.267,0.4,1.9,.222,0.1,0.2,.667,.367,0.0,0.0,,0.3,0.9,1.2,0.2,0.4,0.0,0.2,0.9,1.6,132,3.7,.367,.900,.000,3.3,11.5,7.3,3.3,2.3,0.0,9.1,11.1,,-0.1,0.1,0.0,-0.008,,-6.0,-0.1,-6.1,-0.1
