,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,12,LaMarcus Aldridge,C,6-11,250,"July 19, 1985",United States,12,Texas
1,18,Marco Belinelli,SG,6-5,220,"March 25, 1986",Italy,11,
2,42,Davis Bertans,PF,6-10,225,"November 12, 1992",Latvia,2,
3,33,Dante Cunningham,PF,6-8,230,"April 22, 1987",United States,9,Villanova
4,10,DeMar DeRozan,SG,6-6,220,"August 7, 1989",United States,9,USC
5,14,Drew Eubanks,PF,6-9,245,"February 1, 1997",United States,R,Oregon State
6,11,Bryn Forbes,SG,6-2,205,"July 23, 1993",United States,2,Michigan State
7,16,Pau Gasol,C,7-0,250,"July 6, 1980",Spain,17,
8,22,Rudy Gay,PF,6-8,250,"August 17, 1986",United States,12,UConn
9,7,Chimezie Metu,PF,6-9,225,"March 22, 1997",United States,R,USC
10,8,Patty Mills,PG,6-1,180,"August 11, 1988",Australia,9,Saint Mary's
11,28,Donatas Motiejunas,PF,7-0,222,"September 20, 1990",Lithuania,5,
12,25,Jakob Poeltl,C,7-1,245,"October 15, 1995",Austria,2,Utah
13,3,Quincy Pondexter,SF,6-7,230,"March 10, 1988",United States,6,Washington
14,1,Lonnie Walker,SG,6-4,204,"December 14, 1998",United States,R,Miami (FL)
15,4,Derrick White,PG,6-4,190,"July 2, 1994",United States,1,"Colorado-Colorado Springs, Colorado"
