,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,10,Mike Bibby,PG,6-1,190,"May 13, 1978",United States,4,Arizona
1,13,Doug Christie,SG,6-6,200,"May 9, 1970",United States,10,Pepperdine
2,7,Keon Clark,C,6-11,220,"April 16, 1975",United States,4,UNLV
3,8,Mateen Cleaves,PG,6-2,205,"September 7, 1977",United States,2,Michigan State
4,21,Vlade Divac,C,7-1,243,"February 3, 1968",Serbia,13,
5,51,Lawrence Funderburke,PF,6-9,230,"December 15, 1970",United States,5,"Indiana, Ohio State"
6,24,Bobby Jackson,PG,6-1,185,"March 13, 1973",United States,5,Minnesota
7,22,Jim Jackson,SF,6-6,220,"October 14, 1970",United States,10,Ohio State
8,9,Damon Jones,PG,6-3,185,"August 25, 1976",United States,4,Houston
9,31,Scot Pollard,C,6-11,265,"February 12, 1975",United States,5,Kansas
10,16,Peja Stojakovic,SF,6-10,229,"June 9, 1977",Croatia,4,
11,5,Hedo Turkoglu,SF,6-10,220,"March 19, 1979",Turkey,2,
12,3,Gerald Wallace,SF,6-7,215,"July 23, 1982",United States,1,Alabama
13,4,Chris Webber,PF,6-9,245,"March 1, 1973",United States,9,Michigan
