StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,3,9,3,9,-9.75,0.22,-9.53,99.5,109.4,98.1,0.242,0.415,0.468,14.0,23.6,0.184,0.557,15.7,78.5,0.183,Little Caesars Arena,63702
Lg Rank,27,4,30,28,30.0,14.0,29.0,30.0,22.0,20.0,5.0,10.0,30.0,23.0,11.0,9.0,29.0,2.0,9.0,22.0,,28
