,StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
0,Team,47,35,49,33,2.89,0.0,2.89,107.9,104.8,95.0,0.245,0.282,0.507,12.2,23.7,0.189,0.507,13.2,78.6,0.17,AT&T Center,754562
1,Lg Rank,12,18,8,8,8.0,17.0,8.0,17.0,3.0,28.0,17.0,27.0,26.0,5.0,6.0,18.0,8.0,12.0,8.0,3.0,,12
