StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,4,9,5,8,-4.38,1.82,-2.57,108.6,113.0,98.1,0.208,0.348,0.505,11.4,24.5,0.166,0.538,11.5,79.7,0.171,State Farm Arena,62593
Lg Rank,24,3,23,26,24.0,3.0,22.0,11.0,28.0,21.0,22.0,26.0,23.0,1.0,7.0,18.0,26.0,25.0,6.0,18.0,,28
