,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19880,3255,7036,0.463,732,2082,0.352,2523,4954,0.509,1386,1843,0.752,858,2608,3466,1846,663,371,1062,1644,8628
1,Team/G,,242.4,39.7,85.8,0.463,8.9,25.4,0.352,30.8,60.4,0.509,16.9,22.5,0.752,10.5,31.8,42.3,22.5,8.1,4.5,13.0,20.0,105.2
2,Lg Rank,,8,2,8,5.0,7,8,13.0,11,20,3.0,15,16,16.0,20,23,23,8,10,20,4,15,3
3,Year/Year,,0.3%,0.2%,2.6%,-0.011,1.5%,10.9%,-0.032,-0.2%,-0.5%,0.002,0.6%,6.3%,-0.043,2.1%,3.7%,3.3%,-4.6%,-5.8%,4.2%,-4.3%,0.5%,0.4%
4,Opponent,82.0,19880,3117,6930,0.45,741,2034,0.364,2376,4896,0.485,1415,1879,0.753,1006,2778,3784,1830,602,314,1339,1816,8390
5,Opponent/G,,242.4,38.0,84.5,0.45,9.0,24.8,0.364,29.0,59.7,0.485,17.3,22.9,0.753,12.3,33.9,46.1,22.3,7.3,3.8,16.3,22.1,102.3
6,Lg Rank,,8,21,21,16.0,30,28,27.0,11,8,14.0,16,14,19.0,30,26,29,17,7,4,4,2,25
7,Year/Year,,0.3%,0.7%,3.9%,-0.014,9.3%,7.7%,0.005,-1.7%,2.3%,-0.02,-7.5%,-6.9%,-0.005,6.7%,8.1%,7.7%,1.2%,-5.2%,9.0%,2.1%,11.2%,-0.1%
