,StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
0,Team,36,30,41,25,3.2,-0.81,2.39,104.4,101.0,93.2,0.306,0.288,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224,Madison Square Garden (IV),652179
1,Lg Rank,13,16,8,8,8.0,30.0,11.0,17.0,5.0,5.0,6.0,2.0,12.0,27.0,18.0,7.0,12.0,2.0,12.0,23.0,,5
