,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,32,Deng Adel,SF,6-7,200,"February 1, 1997",South Sudan,R,Louisville
1,4,Jaron Blossomgame,SF,6-8,220,"September 16, 1993",United States,R,Clemson
2,10,Alec Burks,SG,6-6,214,"July 20, 1991",United States,7,Colorado
3,3,Marquese Chriss,PF,6-9,240,"July 2, 1997",United States,2,Washington
4,8,Jordan Clarkson,SG,6-4,194,"June 7, 1992",United States,4,"Tulsa, Missouri"
5,15,Sam Dekker,PF,6-9,230,"May 6, 1994",United States,3,Wisconsin
6,18,Matthew Dellavedova,PG,6-3,200,"September 8, 1990",Australia,5,Saint Mary's
7,9,Channing Frye,C,7-0,255,"May 17, 1983",United States,12,Arizona
8,55,Andrew Harrison,PG,6-6,213,"October 28, 1994",United States,2,Kentucky
9,3,George Hill,PG,6-4,188,"May 4, 1986",United States,10,IUPUI
10,10,John Holland,SF,6-5,205,"November 6, 1988",United States,2,Boston University
11,1,Rodney Hood,SG,6-8,208,"October 20, 1992",United States,4,"Mississippi State, Duke"
12,21,Jalen Jones,SF,6-7,220,"May 27, 1993",United States,1,Texas A&M
13,20,Brandon Knight,PG,6-2,182,"December 2, 1991",United States,6,Kentucky
14,26,Kyle Korver,PF,6-7,212,"March 17, 1981",United States,15,Creighton
15,0,Kevin Love,PF,6-8,251,"September 7, 1988",United States,10,UCLA
16,3,Patrick McCaw,SG,6-7,181,"October 25, 1995",United States,2,UNLV
17,22,Larry Nance,C,6-7,245,"January 1, 1993",United States,3,Wyoming
18,12,David Nwaba,SF,6-5,219,"January 14, 1993",United States,2,Cal Poly
19,16,Cedi Osman,SF,6-7,230,"April 8, 1995",North Macedonia,1,
20,3,Cameron Payne,PG,6-1,183,"August 8, 1994",United States,3,Murray State
21,2,Collin Sexton,PG,6-1,190,"January 4, 1999",United States,R,Alabama
22,3,Kobi Simmons,PG,6-5,166,"July 4, 1997",United States,1,Arizona
23,5,JR Smith,SG,6-6,225,"September 9, 1985",United States,14,
24,1,Nik Stauskas,SG,6-6,205,"October 7, 1993",Canada,4,Michigan
25,13,Tristan Thompson,C,6-9,254,"March 13, 1991",Canada,7,Texas
26,41,Ante Zizic,C,6-10,266,"January 4, 1997",Croatia,1,
