,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,13.0,Paul George,SF,6-8,220,"May 2, 1990",us,11,Fresno State
1,12.0,Eric Bledsoe,SG,6-1,214,"December 9, 1989",us,11,Kentucky
2,40.0,Ivica Zubac,C,7-0,240,"March 18, 1997",ba,5,
3,1.0,Reggie Jackson,SG,6-2,208,"April 16, 1990",it,10,Boston College
4,14.0,Terance Mann,SG,6-5,215,"October 18, 1996",us,2,Florida State
5,8.0,Marcus Morris,PF,6-8,218,"September 2, 1989",us,10,Kansas
6,5.0,Luke Kennard,SG,6-5,206,"June 24, 1996",us,4,Duke
7,7.0,Amir Coffey (TW),SG,6-7,210,"June 17, 1997",us,2,Minnesota
8,20.0,Justise Winslow,SF,6-6,222,"March 26, 1996",us,6,Duke
9,,Nicolas Batum,SF,6-8,230,"December 14, 1988",fr,13,
10,,Keon Johnson,G,6-5,186,"March 10, 2002",us,R,Tennessee
11,,Isaiah Hartenstein,C,7-0,250,"May 5, 1998",us,3,
12,,Brandon Boston Jr,G-F,6-7,185,"November 28, 2001",us,R,Kentucky
13,,Jason Preston,G,6-4,187,"August 10, 1999",us,R,Ohio University
14,,Serge Ibaka,C,6-10,235,"September 18, 1989",cg,12,
15,,Kawhi Leonard,SF,6-7,225,"June 29, 1991",us,10,San Diego State
