,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,11,Andris Biedrins,C,6-11,240,"April 2, 1986",Latvia,9,
1,3,Trey Burke,PG,6-0,185,"November 12, 1992",United States,R,Michigan
2,10,Alec Burks,SG,6-6,214,"July 20, 1991",United States,2,Colorado
3,21,Ian Clark,SG,6-3,175,"March 7, 1991",United States,R,Belmont
4,40,Jeremy Evans,SF,6-9,200,"October 24, 1987",United States,3,Western Kentucky
5,15,Derrick Favors,PF,6-9,265,"July 15, 1991",United States,3,Georgia Tech
6,8,Diante Garrett,PG,6-4,190,"November 3, 1988",United States,1,Iowa State
7,27,Rudy Gobert,C,7-1,258,"June 26, 1992",France,R,
8,33,Mike Harris,PF,6-6,240,"June 15, 1983",United States,3,Rice University
9,20,Gordon Hayward,SF,6-7,225,"March 23, 1990",United States,3,Butler
10,24,Richard Jefferson,SF,6-7,233,"June 21, 1980",United States,12,Arizona
11,0,Enes Kanter,C,6-10,250,"May 20, 1992",Switzerland,2,
12,5,John Lucas III,PG,5-11,166,"November 21, 1982",United States,5,"Baylor, Oklahoma State"
13,25,Brandon Rush,SG,6-6,220,"July 7, 1985",United States,5,Kansas
14,22,Malcolm Thomas,PF,6-9,225,"November 8, 1988",United States,2,"Pepperdine, San Diego State"
15,6,Jamaal Tinsley,PG,6-3,195,"February 28, 1978",United States,10,Iowa State
16,2,Marvin Williams,PF,6-8,237,"June 19, 1986",United States,8,UNC
