,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,2,Tyler Bey,SF,6-7,215,"February 10, 1998",United States,R,Colorado
1,13,Jalen Brunson,PG,6-1,190,"August 31, 1996",United States,2,Villanova
2,3,Trey Burke,PG,6-0,185,"November 12, 1992",United States,7,Michigan
3,33,Willie Cauley-Stein,C,7-0,240,"August 18, 1993",United States,5,Kentucky
4,77,Luka Doncic,PG,6-7,230,"February 28, 1999",Slovenia,2,
5,10,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",United States,4,Florida
6,8,Josh Green,SG,6-5,200,"November 16, 2000",Australia,R,Arizona
7,11,Tim Hardaway,SG,6-5,205,"March 16, 1992",United States,7,Michigan
8,14,Nate Hinton,SG,6-5,210,"June 8, 1999",United States,R,Houston
9,25,Wesley Iwundu,SF,6-6,195,"December 20, 1994",United States,3,Kansas State
10,16,James Johnson,PF,6-7,240,"February 20, 1987",United States,11,Wake Forest
11,42,Maxi Kleber,PF,6-10,240,"January 29, 1992",Germany,3,
12,51,Boban Marjanovic,C,7-4,290,"August 15, 1988",Serbia,5,
13,44,Nicolo Melli,PF,6-9,236,"January 26, 1991",Italy,1,
14,6,Kristaps Porzingis,C,7-3,240,"August 2, 1995",Latvia,4,
15,7,Dwight Powell,C,6-10,240,"July 20, 1991",Canada,6,Stanford
16,17,JJ Redick,SG,6-3,200,"June 24, 1984",United States,14,Duke
17,0,Josh Richardson,SG,6-5,200,"September 15, 1993",United States,5,Tennessee
18,1,Tyrell Terry,PG,6-2,160,"September 28, 2000",United States,R,Stanford
