,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,0,Kadeem Allen,PG,6-1,200,"January 15, 1993",United States,2,Arizona
1,9,RJ Barrett,SG,6-6,214,"June 14, 2000",Canada,R,Duke
2,17,Ignas Brazdeikis,SF,6-6,221,"January 8, 1999",Lithuania,R,Michigan
3,25,Reggie Bullock,SG,6-6,205,"March 16, 1991",United States,6,UNC
4,21,Damyean Dotson,SG,6-5,210,"May 6, 1994",United States,2,"Oregon, Houston"
5,2,Wayne Ellington,SG,6-4,207,"November 29, 1987",United States,10,UNC
6,67,Taj Gibson,C,6-9,232,"June 24, 1985",United States,10,USC
7,3,Maurice Harkless,SF,6-7,220,"May 11, 1993",United States,7,St. John's
8,20,Kevin Knox,SF,6-7,215,"August 11, 1999",United States,1,Kentucky
9,13,Marcus Morris,SF,6-8,218,"September 2, 1989",United States,8,Kansas
10,11,Frank Ntilikina,PG,6-4,200,"July 28, 1998",Belgium,2,
11,6,Elfrid Payton,PG,6-3,195,"February 22, 1994",United States,5,Louisiana
12,1,Bobby Portis,PF,6-10,250,"February 10, 1995",United States,4,Arkansas
13,30,Julius Randle,PF,6-8,250,"November 29, 1994",United States,5,Kentucky
14,23,Mitchell Robinson,C,7-0,240,"April 1, 1998",United States,1,Western Kentucky
15,5,Dennis Smith,PG,6-2,205,"November 25, 1997",United States,2,NC State
16,14,Allonzo Trier,SG,6-4,200,"January 17, 1996",United States,1,Arizona
