,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19730,3329,7094,0.469,633,1687,0.375,2696,5407,0.499,1631,2085,0.782,753,2397,3150,1839,761,340,1204,1886,8922
1,Team/G,,240.6,40.6,86.5,0.469,7.7,20.6,0.375,32.9,65.9,0.499,19.9,25.4,0.782,9.2,29.2,38.4,22.4,9.3,4.1,14.7,23.0,108.8
2,Lg Rank,,26,2,1,8.0,7,7,4.0,5,7,10.0,5,11,4.0,29,27,30,5,1,25,19,30,2
3,Year/Year,,-0.8%,3.0%,0.6%,0.011,15.1%,14.4%,0.002,0.6%,-3.1%,0.018,-13.8%,-12.8%,-0.009,-21.0%,-3.8%,-8.6%,7.5%,19.3%,-35.5%,0.2%,2.4%,0.2%
4,Opponent,82.0,19730,3409,7033,0.485,567,1514,0.375,2842,5519,0.515,1832,2390,0.767,1100,2842,3942,1979,645,407,1442,1757,9217
5,Opponent/G,,240.6,41.6,85.8,0.485,6.9,18.5,0.375,34.7,67.3,0.515,22.3,29.1,0.767,13.4,34.7,48.1,24.1,7.9,5.0,17.6,21.4,112.4
6,Lg Rank,,26,30,29,29.0,23,16,28.0,30,29,26.0,30,30,25.0,30,29,30,29,26,17,1,10,30
7,Year/Year,,-0.8%,0.2%,-3.3%,0.017,-2.6%,-1.1%,-0.006,0.8%,-3.9%,0.024,0.2%,1.9%,-0.013,-5.6%,5.5%,2.1%,-0.1%,-0.3%,-1.7%,17.3%,-8.8%,0.1%
