StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,3,16,4,15,-9.05,1.46,-7.59,103.5,112.8,97.3,0.22,0.369,0.484,14.2,25.6,0.179,0.535,11.4,77.8,0.183,Smoothie King Center,137727
Lg Rank,29,1,27,30,28.0,3.0,27.0,26.0,29.0,21.0,17.0,25.0,28.0,26.0,5.0,14.0,25.0,27.0,14.0,20.0,,18
